Resource,Operation,Operation,Operation New,Resource v1,Description,Description New,Endpoint,Campos simplificados,Parámetros Nodo,Parámetros API,Ultima Actualización,Motivo Implementación,Comentarios Broobe,Comentarios Centum
Otros,CREAR,,,Process_Binary_Images,Procesar datos de imágenes binarias para su uso en WooCommerce.,Procesa las imágenes binarias de artículos para su uso.,N/A,,"Datos de la imagen, última actualización de la imagen","No aplica: operación local del nodo, no consume endpoint de la API pública.",,,,Esto aplica al nodo de Centum? O habría que quitarlo?
Otros,CREAR,Access Token,Get,Generate_Access_Token,Genera un token para herramientas externas como Postman.,Genera el token que se necesita enviar en el header CentumSuiteAccessToken.,N/A,,Sin parámetros de nodo específicos.,"No aplica: operación local del nodo, no consume endpoint de la API pública.",,,,
Stock,CREAR,Ajustes Movimientos Stock,Create,Create_Stock_Movement,Crear un ajuste de movimiento de existencias,Crea un ajuste de stock de artículos.,/AjustesMovimientoStock,,"Fecha de publicación, identificadores de artículo, ubicación del artículo, identificador de sucursal física","Cabecera opcional: CentumSuiteClientUser | URL: bAjustePrevioACero opcional | Body: Ajuste Movimiento Stock con items; el cuerpo debe incluir los artículos y puede incluir sucursal física, sección y ubicación.",,,,
Articulos,GET,Articulos,GetOne,Get_Article_By_ID,Devuelve un artículo específico en función de su ID único.,Devuelve los datos generales de un artículo específico en función de su ID único.,/Articulos/DatosGenerales,"ID, Id, IdArticulo, Codigo, Nombre, Descripcion, DescripcionCorta, Precio, PrecioLista, PrecioFinal, PrecioSugerido, Stock, Existencia, ExistenciasSucursal, ExistenciasTotal, StockDisponible, Masa, Volumen, Alto, Largo, Ancho, Activo, Habilitado, ActivoWeb, FechaModificacion, FechaPrecioActualizado, FechaUltimaActualizacionPrecio, Marca.{IdMarcaArticulo,Nombre}, MarcaArticulo.{IdMarcaArticulo,Nombre}, Rubro.{IdRubro,Nombre}, SubRubro.{IdSubRubro,Nombre}, Categoria.{IdCategoriaArticulo,Nombre}, CategoriaArticulo.{IdCategoriaArticulo,Nombre}, CategoriaImpuestoIVA.{IdCategoriaImpuestoIVA,Nombre,Tasa}, SucursalFisica.{IdSucursalFisica,Codigo,Nombre}","Código del artículo, identificadores del artículo, salida simplificada","URL: tipoOrdenArticulos, ordenArticulosDescendente, numeroPagina, cantidadItemsPorPagina | Body: CodigoExacto o Ids para identificar el artículo; también admite Codigo, Nombre, IdsRubro, IdsSubRubro, IdsCategoriaArticulo, IdsMarcaArticulo, Habilitado, ActivoWeb, FechaModificacionDesde, FechaModificacionImagenesDesde e IdProveedor.",,,,
Articulos,GET,Articulos,GetOneImagen,Get_Article_Image,Devuelve la imagen binaria de un artículo.,Devuelve la imagen de un artículo específico en función de su ID único y número de orden.,/ArticulosImagenes,,Identificadores de artículos,Path: {idArticulo} requerido | URL: numeroOrd opcional (por defecto 1).,,,,
Articulos,GET,Articulos,GetPrecios,Get_Article_Price_By_List,Devuelve el precio del artículo para la lista de precios seleccionada.,Devuelve los datos de precios de artículos en función de el ID de una lista de precios y filtros varios.,/Articulos/FiltrosPrecios,"ID, Id, IdArticulo, Codigo, Nombre, Descripcion, DescripcionCorta, Precio, PrecioLista, PrecioFinal, PrecioSugerido, Stock, Existencia, ExistenciasSucursal, ExistenciasTotal, StockDisponible, Masa, Volumen, Alto, Largo, Ancho, Activo, Habilitado, ActivoWeb, FechaModificacion, FechaPrecioActualizado, FechaUltimaActualizacionPrecio, Marca.{IdMarcaArticulo,Nombre}, MarcaArticulo.{IdMarcaArticulo,Nombre}, Rubro.{IdRubro,Nombre}, SubRubro.{IdSubRubro,Nombre}, Categoria.{IdCategoriaArticulo,Nombre}, CategoriaArticulo.{IdCategoriaArticulo,Nombre}, CategoriaImpuestoIVA.{IdCategoriaImpuestoIVA,Nombre,Tasa}, SucursalFisica.{IdSucursalFisica,Codigo,Nombre}, IdListaPrecio, NombreListaPrecio, Moneda","Fecha de actualización del precio hasta, Fecha de actualización del precio desde, ID de artículo, ID de lista de precios, Salida simplificada","URL: tipoOrdenArticulos, ordenArticulosDescendente, numeroPagina, cantidadItemsPorPagina | Body: IdLista requerido; FechaPrecioActualizadoDesde, FechaPrecioActualizadoHasta, Habilitado, ActivoWeb, ImprimeLista e IdsArticulos opcionales.",,,,
Articulos,LISTAR,Articulos,GetVenta,List_Filtered_Articles,Devuelve una lista de artículos vendibles utilizando los filtros seleccionados.,Devuelve información completa de artículos para la venta en función de el ID de un cliente específico y filtros varios.,/Articulos/Venta,"ID, Id, IdArticulo, Codigo, Nombre, Descripcion, DescripcionCorta, Precio, PrecioLista, PrecioFinal, PrecioSugerido, Stock, Existencia, ExistenciasSucursal, ExistenciasTotal, StockDisponible, Masa, Volumen, Alto, Largo, Ancho, Activo, Habilitado, ActivoWeb, FechaModificacion, FechaPrecioActualizado, FechaUltimaActualizacionPrecio, Marca.{IdMarcaArticulo,Nombre}, MarcaArticulo.{IdMarcaArticulo,Nombre}, Rubro.{IdRubro,Nombre}, SubRubro.{IdSubRubro,Nombre}, Categoria.{IdCategoriaArticulo,Nombre}, CategoriaArticulo.{IdCategoriaArticulo,Nombre}, CategoriaImpuestoIVA.{IdCategoriaImpuestoIVA,Nombre,Tasa}, SucursalFisica.{IdSucursalFisica,Codigo,Nombre}","ID de cliente, fecha del documento, fecha de modificación desde, fecha de modificación de la imagen desde, migración completa, salida simplificada","URL: tipoOrdenArticulos, ordenArticulosDescendente, numeroPagina, cantidadItemsPorPagina | Body: IdCliente y FechaDocumento requeridos; filtros frecuentes Codigo, CodigoExacto, Nombre, IdsRubro, IdsSubRubro, IdsCategoriaArticulo, IdsMarcaArticulo, IdGrupoArticulo, Habilitado, ActivoWeb, ImprimeLista, PrecioDesde/Hasta, StockTotalDesde/Hasta, StockSucursalDesde/Hasta, FechaPromocion, Ids, IdProveedor, FechaModificacionDesde y FechaModificacionImagenesDesde.",,,,
Articulos,LISTAR,Articulos,GetDatosGenerales (*),List_Articles,Devuelve una lista de artículos y sus datos generales.,Devuelve los datos generales de artículos en función de filtros varios.,/Articulos/DatosGenerales,"ID, Id, IdArticulo, Codigo, Nombre, Descripcion, DescripcionCorta, Precio, PrecioLista, PrecioFinal, PrecioSugerido, Stock, Existencia, ExistenciasSucursal, ExistenciasTotal, StockDisponible, Masa, Volumen, Alto, Largo, Ancho, Activo, Habilitado, ActivoWeb, FechaModificacion, FechaPrecioActualizado, FechaUltimaActualizacionPrecio, Marca.{IdMarcaArticulo,Nombre}, MarcaArticulo.{IdMarcaArticulo,Nombre}, Rubro.{IdRubro,Nombre}, SubRubro.{IdSubRubro,Nombre}, Categoria.{IdCategoriaArticulo,Nombre}, CategoriaArticulo.{IdCategoriaArticulo,Nombre}, CategoriaImpuestoIVA.{IdCategoriaImpuestoIVA,Nombre,Tasa}, SucursalFisica.{IdSucursalFisica,Codigo,Nombre}",Salida simplificada,"URL: tipoOrdenArticulos, ordenArticulosDescendente, numeroPagina, cantidadItemsPorPagina | Body: Codigo, CodigoExacto, CodigoDesde, CodigoHasta, CodigoBarras, Nombre, IdsRubro, IdsSubRubro, IdsCategoriaArticulo, IdsSociedadArticulo, IdsMarcaArticulo, Habilitado, ActivoWeb, FechaCreacionDesde/Hasta, Ids, FechaModificacionDesde, FechaModificacionImagenesDesde e IdProveedor.",,,,
Articulos,BUSCAR,Articulos,GetDatosGenerales (*),Search_Articles,Busca un artículo por nombre y devuelve todos los resultados.,Devuelve los datos generales de artículos en función de filtros varios.,/Articulos/DatosGenerales,"ID, Id, IdArticulo, Codigo, Nombre, Descripcion, DescripcionCorta, Precio, PrecioLista, PrecioFinal, PrecioSugerido, Stock, Existencia, ExistenciasSucursal, ExistenciasTotal, StockDisponible, Masa, Volumen, Alto, Largo, Ancho, Activo, Habilitado, ActivoWeb, FechaModificacion, FechaPrecioActualizado, FechaUltimaActualizacionPrecio, Marca.{IdMarcaArticulo,Nombre}, MarcaArticulo.{IdMarcaArticulo,Nombre}, Rubro.{IdRubro,Nombre}, SubRubro.{IdSubRubro,Nombre}, Categoria.{IdCategoriaArticulo,Nombre}, CategoriaArticulo.{IdCategoriaArticulo,Nombre}, CategoriaImpuestoIVA.{IdCategoriaImpuestoIVA,Nombre,Tasa}, SucursalFisica.{IdSucursalFisica,Codigo,Nombre}","Código del artículo, nombre del artículo, salida simplificada","URL: tipoOrdenArticulos, ordenArticulosDescendente, numeroPagina, cantidadItemsPorPagina | Body: Codigo, CodigoExacto, Nombre, IdsRubro, IdsSubRubro, IdsCategoriaArticulo, IdsMarcaArticulo, Habilitado, ActivoWeb, Ids, FechaModificacionDesde e IdProveedor.",,,,
Stock,GET,Artículos,GetExistenciasIndicadores (*****),Get_Stock_By_Branch_And_Article,Devolución de existencias de un artículo específico en una sucursal física.,Devuelve las existencias de artículos junto con los indicadores dentro de un depósito en función de filtros varios.,/ArticulosSucursalesFisicas,"IdArticulo, ExistenciasSucursales, ExistenciasTotal, CantidadPedidosVenta, CantidadOrdenesCompra, StockComprometido","Identificadores de artículo, ID de sucursal física, salida simplificada","URL: filtros de artículo y sucursal física; usar principalmente idSucursalFisica e idArticulo/codigo, con numeroPagina y cantidadItemsPorPagina opcionales.",,,,
Stock,GET,Artículos,GetExistencias,Get_Article_Stock,Devuelva el artículo en stock utilizando los filtros seleccionados.,Devuelve las exitencias y stock compromedito de artículos en función de filtros varios.,/ArticulosExistencias,,Lista de identificación de sucursales físicas,"URL: codigo, codigoExacto, codigoDesde, codigoHasta, codigoBarras, codigoAuxiliar, nombre, idRubro, idSubrubro, idCategoriaArticulo, idMarcaArticulo, habilitado, activoWeb, idsArticulos, numeroPagina y cantidadItemsPorPagina.",,,,
Stock,LISTAR,Artículos,GetExistenciasIndicadores (*****),List_Stock_By_Physical_Branch,Devuelva el stock de artículos para una sucursal física específica.,Devuelve las existencias de artículos junto con los indicadores dentro de un depósito en función de filtros varios.,/ArticulosSucursalesFisicas,"IdArticulo, ExistenciasSucursales, ExistenciasTotal, CantidadPedidosVenta, CantidadOrdenesCompra, StockComprometido","ID de artículo, ID de sucursal física, nombre del artículo, ID de grupo, ID de subgrupo, ID de marca del artículo, ID de categoría del artículo, salida simplificada","URL: filtros de artículo y sucursal física; admite codigo, nombre, idSucursalFisica, idArticulo, rubro/subrubro/categoría/marca, habilitado, activoWeb, numeroPagina y cantidadItemsPorPagina.",,,,
Articulos,LISTAR,Bonificaciones,GetAll,List_Discounts,Obtén la lista completa de descuentos disponibles.,Devuelve la lista completa de bonificaciones de clientes.,/Bonificaciones,,Sin parámetros de nodo específicos.,Sin parámetros documentados.,,,,
